apparition	ghost	phantom
diddy	puffdaddy	puffy
augustus	caesaraugustus	gaiusoctavius
earth	globe	planetearth
frontman	leadvocalist	leadvocals
gallons	gallon	usgal
host	presenter	tvhost
mentalillness	psychiatricdisorders	psychiatricillness
distilledbeverage	liquor	spirits
cephas	peter	petrus
cheikh	shaikh	shaykh
dairycattle	dairycow
francozeffirelli	zeffirelli
newyorkphilharmonicorchestra	newyorkphilharmonic
saracens	saracen
thetriffids	triffids
malignantmelanoma	melanoma
diptera	fly
layman	layperson
computersecurity	cybersecurity
davemustaine	mustaine
torispelling	tori
musicgenre	musicalgenre
johore	johor
theravadabuddhism	theravada
catfish	siluriformes
foodindustry	food
newyorktimesbestsellerlist	thenewyorktimesbestsellerlist
bloodserum	serum
qb	quarterback
stagedirector	theaterdirector
fukushimaprefecture	fukushima
sriinternational	stanfordresearchinstitute
achristmascarol	christmascarol
broadcastjournalism	journalism
akitaprefecture	akita
nasiraldinaltusi	tusi
iran	persia
location	place
germanshepherddog	germanshepherd
australianbroadcastingcommission	australianbroadcastingcorporation
residents	theresidents
mann	thomasmann
algol60	algol
amnesia	memoryloss
methionine	met
altair8800	mitsaltair8800
inorganicchemicals	inorganiccompound
accountancy	accounting
abingtontownship	abington
ketchup	tomatoketchup
fourtops	thefourtops
april	apr
hessen	hesse
romancatholicchurch	thecatholicchurch
erythrocytesedimentationrate	esr
computernetworks	computernetwork
temptations	thetemptations
blackburnrovers	rovers
internationaltaekwondofederation	itf
countrymusic	country
dariusmilhaud	milhaud
golf	volkswagengolf
chemicalnomenclature	iupacnomenclature
ells	ell
francispoulenc	poulenc
polynomialtime	timecomplexity
rnli	royalnationallifeboatinstitution
kingwillemalexander	willemalexander
tamerlane	timur
midnightspecial	themidnightspecial
gaviiformes	loon
dido	elissa
hejaz	hijaz
herbertvonkarajan	karajan
stoicism	stoic
electronicnoise	noise
byrd	williambyrd
kharkiv	kharkov
dystheism	misotheism
tabletcomputer	tablet
chineselanguage	chinese
mantaray	manta
phantomblot	thephantomblot
polynesian	polynesia
dieselfuel	diesel
pittsburghsteelers	steelers
shields	shield
localfood	local
bacteria	bacterium
newscotlandyard	scotlandyard
milano	milan
naturalsciences	naturalscience
genitivecase	genitive
alexanderscriabin	scriabin
canton	guangzhou
threonine	thr
bretagne	brittany
ent	otolaryngology
channelnine	ninenetwork
peregrinefalcon	peregrine
complementarycolors	complementarycolor
fabulousthunderbirds	thefabulousthunderbirds
musictheatre	musicaltheatre
glider	sailplane
chennai	madras
climatechange	globalwarming
cold	commoncold
johnmerrick	josephmerrick
bp	britishpetroleum
computersoftware	software
bobsled	bobsleigh
coding	computerprogramming
liaoningprovince	liaoning
johannschmidt	redskull
oak	quercus
adelphitheatre	adelphi
nurseryrhymes	nurseryrhyme
countyleitrim	leitrim
arminius	hermann
archaeology	archeology
excel	microsoftexcel
iec	internationalelectrotechnicalcommission
openuniversity	theopenuniversity
armenianlanguage	armenian
birminghamsymphonyorchestra	cbso
chloride	chlorine
flaubert	gustaveflaubert
chinesemartialarts	kungfu
rembrandtvanrijn	rembrandt
gospelmusic	gospel
claudiomonteverdi	monteverdi
graphicartist	graphicdesigner
genderidentitydisorder	gid
hydra	lernaeanhydra
christiandior	dior
charlesxavier	professorx
benjaminbritten	britten
sinhala	sinhalese
oiltanker	petroleumtanker
coranglais	englishhorn
atari8bitfamily	atari800
portland	rosecity
michaelnesmith	mikenesmith
stevewozniak	woz
motorsports	motorsport
chibaprefecture	chiba
belllaboratories	belllabs
norrbottencounty	norrbotten
frusciante	johnfrusciante
countydurham	durham
floatingbridge	pontoonbridge
anxietydisorders	anxietydisorder
columba	saintcolumba
molotov	vyacheslavmolotov
html	hypertextmarkuplanguage
ds1	t1
alquds	jerusalem
faces	thefaces
siam	thailand
doors	thedoors
saroscycle	saros
octoberwar	yomkippurwar
bk	burgerking
edwardhopper	hopper
constantinople	istanbul
fractalgeometry	fractal
globalisation	globalization
cityplanning	urbandevelopment
holymountain	mountathos
aomoriprefecture	aomori
sirthomasmalory	thomasmalory
seeds	seed
unep	unitednationsenvironmentprogramme
enduserlicenseagreement	eula
eib	europeaninvestmentbank
felixmendelssohn	mendelssohn
unitedstatescoastguard	uscg
dianaprince	wonderwoman
dniesterriver	dniester
bukovina	northernbukovina
valueaddedtax	vat
gustavmahler	mahler
torontotransitcommission	ttc
capabilitymaturitymodel	cmm
ribonucleicacid	rna
aurobindo	sriaurobindo
easternhandynasty	handynasty
chan	jackiechan
akhenaten	amenhotepiv
nationalfootballconference	nfc
georgevi	kinggeorgevi
monuc	monusco
firenze	florence
epiphany	twelfthday
ldopa	levodopa
grandecomore	ngazidja
brownuniversity	brown
magnetoencephalography	meg
congee	riceporridge
nadph	nadp
churchbody	localchurch
flyingburritobrothers	theflyingburritobrothers
twelvers	twelver
astrodynamics	orbitalmechanics
smallfaces	thesmallfaces
sonymusicentertainment	sonymusic
kentuckyfriedchicken	kfc
germanarmy	heer
militaryjustice	militarylaw
sodiumdodecylsulfate	sodiumlaurylsulfate
macross	thesuperdimensionfortressmacross
anakinskywalker	darthvader
chicagotransitauthority	cta
antisocialpersonalitydisorder	antisocial
michael	saintmichael
britishtelecom	btgroup
volts	volt
rabindranathtagore	tagore
boulderdam	hooverdam
automaker	automotiveindustry
4wd	fourwheeldrive
peterscott	sirpeterscott
localgovernment	municipalgovernment
modernism	modernist
cloves	clove
middlepersian	pahlavi
moodyblues	themoodyblues
amazonkindle	kindle
kiteboarding	kitesurfing
miles	mile
kfor	kosovoforce
estonianlanguage	estonian
financialtimes	thefinancialtimes
texas	tx
countyroad	countyroute
heresies	heresy
saharadesert	sahara
postgresql	postgres
abdulkalam	kalam
francisbacon	sirfrancisbacon
evertonfc	everton
extensiblemarkuplanguage	xml
localsupercluster	virgosupercluster
playstationportable	psp
walmartstores	walmart
soekarno	sukarno
pollingplace	pollingstation
safaviddynasty	safavidempire
rhineriver	rhine
barbiedoll	barbie
game	thegame
engine	motor
cherokeenation	cherokee
unitedartistsrecords	unitedartists
cockfighting	cockfight
scanningelectronmicroscope	sem
documentobjectmodel	dom
mountlaureltownship	mountlaurel
cathoderaytube	crt
alcatrazisland	alcatraz
tiberriver	tiber
telegraphy	telegraph
argument	arg
busan	pusan
filetransferprotocol	ftp
robertpeel	sirrobertpeel
jam	thejam
disabilities	disability
frankenstein	themonster
oilsands	tarsands
americanpublicmedia	apm
babylonian	babylonia
opticalfiber	opticalfibre
hammer	mchammer
steaks	steak
standard	technicalstandard
barbarianinvasions	migrationperiod
mikvah	mikveh
amoy	xiamen
sedatives	sedative
points	point
chernobylaccident	chernobyldisaster
citycenter	newyorkcitycenter
viipuri	vyborg
seagatetechnology	seagate
sportscommentator	sportscaster
projects	project
phonogramrecords	phonogram
cfd	computationalfluiddynamics
sondheim	stephensondheim
boisecity	boise
bede	venerablebede
alternation	snub
priestess	priest
impressions	theimpressions
november	nov
harddiskdrive	hdd
penguins	penguin
learningdisabilities	learningdisability
yellowmagicorchestra	ymo
uml	unifiedmodelinglanguage
rs	runescape
2012summerparalympics	paralympics
personaldevelopment	personalgrowth
telugulanguage	telugu
multiplemyeloma	myeloma
homearmy	polishhomearmy
nearearthobject	neos
goiter	goitre
ariaawards	ariamusicawards
ammo	ammunition
wiltshire	wilts
jal	japanairlines
jhu	johnshopkinsuniversity
gamedevelopersconference	gdc
ascensionday	ascension
sulfurdioxide	sulphurdioxide
hypovolemia	hypovolemicshock
opengroup	theopengroup
calicut	kozhikode
moralism	morality
loganairport	loganinternationalairport
parody	spoof
folate	folicacid
queenwilhelmina	wilhelmina
imperialcouncil	reichsrat
drowned	drowning
cure	thecure
babyloniantalmud	talmud
geminiprogram	projectgemini
highcommissioner	highcommission
helsingfors	helsinki
radians	radian
recreationalvehicle	rv
tanach	tanakh
haroldgodwinson	haroldii
lysine	lys
icbm	intercontinentalballisticmissile
ronwood	ronniewood
brownrat	rattusnorvegicus
dohc	sohc
win32	windowsapi
microsoftoffice	office
modelunitednations	modelun
agnosticism	agnostic
minnesotatimberwolves	timberwolves
emesis	vomiting
malteselanguage	maltese
playstationnetwork	psn
aramaeans	arameans
ftse100index	ftse100
fragilexsyndrome	fxs
donizetti	gaetanodonizetti
papsmear	paptest
latinlanguage	latin
britishsignlanguage	bsl
easternbloc	sovietbloc
alcoholintoxication	inebriated
lan	localareanetwork
complex	coordinationcomplex
nationallaborrelationsboard	nlrb
aluminium	aluminum
bark	barque
portwine	port
animalfeed	fodder
nazigermany	thirdreich
dixiechicks	thedixiechicks
baseten	decimal
creditcards	creditcard
kingsolomon	solomon
borussiadortmund	dortmund
niacin	nicotinicacid
breathlessness	dyspnea
check	cheque
discgolf	frisbeegolf
mauryaempire	mauryanempire
comptroller	controller
philipsidney	sirphilipsidney
riodejaneiro	rio
desmoines	fortdesmoines
digitalsubscriberline	dsl
protista	protist
vfx	visualeffects
britishoverseasterritories	britishoverseasterritory
jewish	judaism
rebecca	rebekah
rccola	royalcrown
countymonaghan	monaghan
lpgatour	lpga
filmmusic	filmscore
dadaism	dada
package	softwarepackage
northvietnamesearmy	vpa
camaro	chevroletcamaro
panzer	tank
lastsupper	thelastsupper
traincrash	trainwreck
greatertorontoarea	gta
boniface	saintboniface
dailyvariety	variety
sirwilliamherschel	williamherschel
countywicklow	wicklow
southwestconference	swc
seminoleindians	seminole
chuangtzu	zhuangzi
philipmelanchthon	philippmelanchthon
alternatehistory	alternativehistory
ide	integrateddevelopmentenvironment
kelvins	kelvin
rb	rubidium
shamanism	shaman
esa	europeanspaceagency
footballassociation	thefootballassociation
unitarianism	unitarian
taitocorporation	taito
baruchspinoza	spinoza
anura	frog
humanleague	thehumanleague
countykildare	kildare
londonblitz	theblitz
puranas	puranic
suebi	suevi
franzkafka	kafka
popculture	popularculture
antitrust	competitionlaw
kailuakona	kailua
marathilanguage	marathi
mostvaluableplayer	mvp
portsmouthnavalshipyard	portsmouthnavyyard
ngo	nongovernmentalorganization
colindavis	sircolindavis
annamarie	rogue
ramdass	richardalpert
leicacamera	leitz
krakatau	krakatoa
thewiggles	wiggles
stones	stone
romberg	sigmundromberg
firewire	ieee1394
internationalriceresearchinstitute	irri
falcon	thefalcon
radiationtherapy	radiotherapy
allandwan	dwan
stanforduniversity	stanford
avemaria	hailmary
picardie	picardy
bryozoa	ectoprocta
pierreelliotttrudeau	pierretrudeau
mercedesbenz	mercedes
eds	electronicdatasystems
presocraticphilosophy	presocratic
mongolianlanguage	mongolian
cortisol	hydrocortisone
offspring	theoffspring
collingwoodfootballclub	magpies
verandah	veranda
bullying	bully
sheltie	shetlandsheepdog
feynman	richardfeynman
dsmivtr	dsm
johnbetjeman	sirjohnbetjeman
shadows	theshadows
championsleague	europeancup
fmd	footandmouthdisease
mtvvideomusicaward	vma
jiddukrishnamurti	krishnamurti
movementdisorders	movementdisorder
studentcouncil	studentgovernmentassociation
aragon	louisaragon
palaeolithic	paleolithic
v8supercars	v8supercar
communism	communist
northumbriandialect	northumbrian
arthursullivan	sirarthursullivan
spc	statisticalprocesscontrol
parsippanytroyhills	parsippany
stories	thestories
fertilisation	fertilization
nucleartransmutation	transmutation
illyrian	illyria
pertussis	whoopingcough
biomedicalsciences	healthsciences
cosanostra	sicilianmafia
naraprefecture	nara
littlebear	ursaminor
pontiacsilverdome	silverdome
marshalltucker	themarshalltuckerband
juventus	juve
xmansion	xavierinstitute
skateboardpark	skatepark
washer	washingmachine
azimuthal	azimuth
airbase	militaryairbase
pryorcreek	pryor
volkswagenbeetle	vwbeetle
haku	meng
iontelevision	paxtv
conifers	pinophyta
performancearts	performanceart
sandbar	shoal
gasbladder	swimbladder
atomicforcemicroscope	atomicforcemicroscopy
francia	frankishkingdom
intellectualproperty	ip
edinburghfestivalfringe	edinburghfringefestival
nafta	northamericanfreetradeagreement
antonbruckner	bruckner
cmaawards	countrymusicassociationawards
afdb	africandevelopmentbank
japanselfdefenseforces	jsdf
lifetimetelevision	lifetime
geezerbutler	geezer
musicdirector	musicaldirector
captain	navalcaptain
racingclub	racing
anthologyfilm	anthology
bluegrassmusic	bluegrass
chronicmyelogenousleukemia	cml
chamorropeople	chamorros
electromotivediesel	emd
classicalarchitecture	classical
blonde	blond
barns	barn
annapurnai	annapurna
languagerevitalization	languagerevival
billboardmagazine	billboard
valenciacf	valencia
neighborhoods	neighbourhood
socialanxietydisorder	socialphobia
jennifersaunders	saunders
tnt	trinitrotoluene
deweydecimalclassification	deweydecimalsystem
tribunecompany	tribunemedia
agglomeration	urbanagglomeration
souk	souq
dokdo	liancourtrocks
cyanides	cyanide
basso	bass
altria	philipmorris
boardgames	boardgame
charites	graces
borealforest	taiga
racecourse	racetrack
noodles	noodle
godfather	thegodfather
unitedstatescensusbureau	uscensusbureau
harare	salisbury
howardzinn	zinn
creek	mvskoke
jaffa	joppa
fdi	foreigndirectinvestment
corozaldistrict	corozal
julesmassenet	massenet
beading	beadwork
wimbledonchampionships	wimbledon
obe	outofbodyexperience
leukaemia	leukemia
hanswernerhenze	henze
eidosinteractive	eidos
solaryear	tropicalyear
months	month
rangoon	yangon
detroitnews	thedetroitnews
atlanticrecords	atlantic
carpet	rug
anilingus	rimming
ganesha	ganesh
nc	northcarolina
studentmagazine	studentnewspaper
mediterraneansea	mediterranean
amoraim	amora
wheelerarmyairfield	wheelerfield
tms	transcranialmagneticstimulation
fernandopessoa	pessoa
isaac	yitzchak
kittypryde	shadowcat
londonweekendtelevision	lwt
foodallergies	foodallergy
vjs	vj
shandongprovince	shandong
confederatearmy	confederatestatesarmy
bitola	monastir
typhoidfever	typhoid
cherbourgocteville	cherbourg
countydonegal	donegal
nyssa	tupelo
queenscounty	queens
dci	drumcorpsinternational
leghorn	livorno
sertraline	zoloft
procreation	reproduction
geneticengineering	geneticmodification
sammydavisjr	sammydavis
sadc	southernafricandevelopmentcommunity
beautycontest	beautypageant
copier	photocopier
curtiz	michaelcurtiz
nmu	northernmichiganuniversity
jamesstewart	jimmystewart
knockout	technicalknockout
santiagodechile	santiago
goannas	monitorlizard
joebiden	vicepresidentjoebiden
peterustinov	ustinov
saintmalo	stmalo
georgemasonuniversity	gmu
blackkeys	theblackkeys
maharajah	maharaja
lendleaseact	lendlease
lawenforcementofficer	peaceofficer
farads	farad
douglasmacarthur	generalmacarthur
statefarminsurance	statefarm
worldwildlifefund	wwf
speechdisorders	speechdisorder
moscowoblast	moscowregion
ishikawaprefecture	ishikawa
raptors	torontoraptors
odysseus	ulysses
johnbarbirolli	sirjohnbarbirolli
domenicoscarlatti	scarlatti
antivirussoftware	antivirus
millsbrothers	themillsbrothers
elm	ulmus
nationalgovernment	nationalunitygovernment
orvillewright	wrightbrothers
khyberpakhtunkhwa	nwfp
julesverne	verne
tokyoimperialuniversity	tokyouniversity
finalsmvp	nbafinalsmvp
cc	creativecommons
lymphomas	lymphoma
tagusriver	tagus
motherearth	mothernature
diuretics	diuretic
pac12	pacific12conference
gracekelly	princessgrace
dunkerque	dunkirk
incheon	inchon
jacquesyvescousteau	jacquescousteau
bradycardia	slowheartrate
danishlanguage	danish
hemolyticuremicsyndrome	hus
emmanuel	immanuel
polysaccharides	polysaccharide
liquidoxygen	lox
searchengineoptimization	seo
element114	flerovium
sithlord	sith
gangster	mobster
fathoms	fathom
canadageese	canadagoose
nestorianism	nestorian
alcatellucent	alcatel
enniomorricone	morricone
beatmusic	merseybeat
itaipudam	itaipu
scottishpeople	scottish
genesiskel	siskel
ciaworldfactbook	theworldfactbook
boilingwaterreactor	bwr
charlesmariewidor	widor
alansilvestri	silvestri
acceptancetesting	acceptancetest
executivebranch	executivepower
hebercity	heber
easteregghunt	egghunt
pelvicinflammatorydisease	pid
southeastunitedstates	southeasternunitedstates
pcengine	turbografx16
highland	upland
classicalmusic	westernartmusic
republicannationalcommittee	rnc
commodorevic20	vic20
hotsprings	hotspring
vaishnava	vaishnavism
blockprinting	woodblockprinting
selenium	se
newyorkworld	theworld
powercenter	retailpark
ladymargaretbeaufort	margaretbeaufort
sulfuricacid	sulphuricacid
hollies	thehollies
jamesmadisonuniversity	jmu
djpremier	primo
fruitjuice	juice
holythursday	maundythursday
smithsonianinstitution	smithsonian
iseult	isolde
nisse	tomte
islandrecords	island
jerkyboys	thejerkyboys
bmc	britishmotorcorporation
tyrannosaurusrex	tyrannosaurus
meltdownfestival	meltdown
flagshipstation	flagship
dio	ronniejamesdio
amor	cupid
germanpeople	germans
gibibyte	gib
drymouth	xerostomia
henrys	henry
scepterrecords	scepter
parliamentarydemocracy	parliamentarysystem
bicycle	bike
groundwaterrecharge	recharge
achaea	achaia
brutalistarchitecture	brutalist
chowchow	chow
medicalspecialty	specialty
caruso	enricocaruso
giulianodellarovere	popejuliusii
leonardmccoy	mccoy
henryrollins	rollins
spectre	thespectre
brassinstrument	brass
confederatenavy	confederatestatesnavy
scoutassociation	thescoutassociation
celebes	sulawesi
psychedelicfurs	thepsychedelicfurs
lh2	liquidhydrogen
lyons	lyon
toyotamotorcorporation	toyota
naples	napoli
esc	eurovisionsongcontest
minotafb	minotairforcebase
goryeodynasty	goryeo
okinawaprefecture	okinawa
hess	rudolfhess
earlychristianity	earlychristian
sonnybono	sonny
cubicmetres	cubicmetre
li	ri
revisioncontrol	scm
alternativerock	alternative
parisreview	theparisreview
chinesechess	xiangqi
architecturalmodels	architecturalmodel
deacons	deacon
alfredpennyworth	alfred
krishna	lordkrishna
albusdumbledore	dumbledore
searchers	thesearchers
tlingitlanguage	tlingit
billsikes	sykes
cassiusclay	muhammadali
caving	spelunking
humanvoice	vocal
romanticcomedyfilm	romanticcomedy
fdp	freedemocraticparty
geographicinformationsystem	gis
zamboangacity	zamboanga
jeandelafontaine	lafontaine
celiacdisease	coeliacdisease
halprince	haroldprince
collaborativesoftware	groupware
elementaryschool	primaryschool
drjohnson	samueljohnson
bat	chiroptera
replacements	thereplacements
nfleuropa	nfleurope
highbloodpressure	hypertension
knack	theknack
koran	quran
renaissancearchitecture	renaissance
frenchopen	rolandgarros
southsudan	southernsudan
ccf	combinedcadetforce
elliceislands	tuvalu
days	day
czechlanguage	czech
javascript	js
beverage	drink
patel	vallabhbhaipatel
jamestownsettlement	jamestown
lithuanianlanguage	lithuanian
cardiganshire	ceredigion
cirrhosis	livercirrhosis
clean	theclean
computedtomography	ctscan
everlybrothers	theeverlybrothers
etiquette	manners
dentalcaries	toothdecay
aelian	claudiusaelianus
enlargedlymphnodes	lymphadenopathy
nightmares	nightmare
fct	federalcapitalterritory
icelandiclanguage	icelandic
nationalbasketballassociation	nba
humantorch	johnnystorm
yamunariver	yamuna
zambeziriver	zambezi
samoa	westernsamoa
edomites	edom
beegees	thebeegees
sikhgurus	sikhguru
coachellafestival	coachella
kiev	kyiv
biopolymers	biopolymer
bulwerlytton	edwardbulwerlytton
othello	reversi
comatose	coma
613commandments	613mitzvot
vilna	vilnius
onlineshopping	onlinestore
au	gold
charitableorganization	charity
cardiacmuscle	myocardium
hotlatinsongs	hotlatintracks
jordanriver	riverjordan
logan	wolverine
orientalism	orientalist
blekingecounty	blekinge
britishempiregames	commonwealthgames
sacd	superaudiocd
captainkirk	kirk
ironman	tonystark
marxism	marxist
misspiggy	piggy
musicvideos	musicvideo
prokofiev	sergeiprokofiev
quotations	quotation
bigfoot	sasquatch
whitearmy	whitemovement
syriaclanguage	syriac
dorsetshire	dorset
bnp	britishnationalparty
norad	northamericanaerospacedefensecommand
mickeymouseclub	themickeymouseclub
jarre	mauricejarre
arthur	kingarthur
missyelliott	missy
mediterraneanbasin	mediterraneanregion
finch	fringillidae
carnivores	carnivore
ewingtownship	ewing
israel	jacob
p53	tp53
romulanstarempire	romulan
abelincoln	abrahamlincoln
alco	americanlocomotivecompany
earlycretaceous	lowercretaceous
guesswho	theguesswho
countylouth	louth
scotty	scott
gaiusjuliuscaesar	juliuscaesar
inflammation	inflammatoryreaction
kachinas	kachina
maceoparker	maceo
theventures	ventures
gaa	gaelicathleticassociation
greatbear	ursamajor
firstpastthepostvoting	firstpastthepost
orkneyislands	orkney
bloodgroup	bloodtype
zakynthos	zante
babymario	mario
fruits	fruit
johngielgud	sirjohngielgud
hindemith	paulhindemith
bulldogs	bulldog
registerednurse	rn
footbridge	pedestrianbridge
ninja	shinobi
spaniards	spanishpeople
arcangelocorelli	corelli
relationaldatabasemanagementsystem	relationaldatabase
anabaptists	anabaptist
saloon	sedan
charismarecords	charisma
yards	yard
comte	count
hanyupinyin	pinyin
kikongo	kongo
georgecostanza	george
frobisherbay	iqaluit
3ds	nintendo3ds
marcoisland	marco
europeancommunity	europeaneconomiccommunity
giorgiomoroder	moroder
bellini	vincenzobellini
paulverlaine	verlaine
antipsychotics	antipsychotic
hives	urticaria
kinshasa	leopoldville
ainulanguage	ainu
dissociativeidentitydisorder	multiplepersonalitydisorder
chapter7bankruptcy	chapter7
algebraicchessnotation	algebraicnotation
fonzie	thefonz
medicalcannabis	medicalmarijuana
philadelphiaphillies	phillies
damejudidench	judidench
sampler	samples
cgi	computergeneratedimagery
passover	pesach
battleshippotemkin	thebattleshippotemkin
windowsmediaaudio	wma
nancyreagan	nancy
bulls	chicagobulls
carbolicacid	phenol
britishtouringcarchampionship	btcc
archangelgabriel	gabriel
finearts	fineart
mountain	peak
oprahwinfrey	oprah
annacomnena	annakomnene
sarasvati	saraswati
biographicalfilm	biopic
newzealand	nz
westernmichiganuniversity	wmu
menstruation	periods
osakaprefecture	osaka
confusion	mentalconfusion
contiguousunitedstates	lower48
doncarlos	doncarlo
malaylanguage	malay
hartfordwhalers	newenglandwhalers
worldchesschampionship	worldchesschampion
mercurymusicprize	mercuryprize
religioustext	scripture
guydemaupassant	maupassant
easternmichiganuniversity	emu
siriusb	sirius
b12	vitaminb12
coenzymeq10	coenzymeq
bae	britishaerospace
claudemonet	monet
echocardiogram	echocardiography
marcelproust	proust
slotmachine	slots
sirwilfridlaurier	wilfridlaurier
powcamp	prisonerofwarcamp
psychiatricmedications	psychiatricmedication
mediaplayer	windowsmediaplayer
midfielder	midfield
extratime	overtime
newmexicostateuniversity	nmsu
cheguevara	che
airship	dirigible
saintpaul	saul
royaldutchshell	shell
disneylandrecords	waltdisneyrecords
maasaipeople	masai
heitorvillalobos	villalobos
princerainieriii	rainieriii
brasil	brazil
baptism	christening
fricka	frigg
ietf	internetengineeringtaskforce
pyotrilyichtchaikovsky	tchaikovsky
blackfrancis	frankblack
2014fifaworldcup	2014worldcup
whitemarshtownship	whitemarsh
intelcorporation	intel
disneychannel	thedisneychannel
brighamyounguniversity	byu
comedydrama	dramedy
bulgarianlanguage	bulgarian
maoism	maoist
hindenburg	paulvonhindenburg
soulmusic	soul
geographical	geography
cephalonia	kefalonia
kawasakiheavyindustries	kawasaki
roanokecounty	roanoke
mahathirbinmohamad	mahathirmohamad
berkeleysoftwaredistribution	bsd
fabaceae	leguminosae
menorca	minorca
endorheicbasin	endorheic
blowfish	pufferfish
countdracula	dracula
imperialcollegelondon	imperialcollege
divinecomedy	thedivinecomedy
kandaharprovince	kandahar
livonian	liv
theuniverse	universe
gad	generalizedanxietydisorder
angus	forfarshire
theuncertaintyprinciple	uncertaintyprinciple
parfum	perfume
makkah	mecca
nationalactionparty	pan
headstartprogram	headstart
treves	trier
antarctica	antarctic
pcos	polycysticovarysyndrome
homeopathy	homoeopathy
michelangelobuonarroti	michelangelo
anthocyanins	anthocyanin
ebm	electronicbodymusic
saptarishi	saptarshi
macedonianslavs	macedonians
creactiveprotein	crp
fairytales	fairytale
rosa	rose
dailycomicstrip	dailystrip
acetylsalicylicacid	aspirin
bonaventure	saintbonaventure
hinduism	hindu
iodine131	radioiodine
publisher	publishing
americanstockexchange	amex
blockbusterentertainmentaward	blockbustervideo
santaclaravalleytransportationauthority	vta
charliemccarthy	edgarbergen
ga	georgia
clarabellecow	clarabelle
georgearmstrongcuster	georgecuster
columbiarecords	columbia
boriskarloff	karloff
maas	meuse
emailspam	spam
aclockworkorange	clockworkorange
waylonjennings	waylon
nadershah	nadirshah
compilationalbum	compilation
himyaritekingdom	himyar
kangaroos	northmelbournefootballclub
snoopdogg	snoop
niigataprefecture	niigata
augustine	saintaugustine
generations	generation
condottiere	condottiero
charlesperrault	perrault
detroit	motorcity
sanchopanza	sancho
windinstruments	windinstrument
animated	animation
tumor	tumour
aga	agha
nonsmallcelllungcancer	nsclc
bundesmarine	germannavy
linoleate	linoleicacid
sindh	sind
surrealism	surrealist
bucs	tampabaybuccaneers
yiddishlanguage	yiddish
oakenfold	pauloakenfold
collagens	collagen
leuven	louvain
johnlennon	lennon
eso	europeansouthernobservatory
amir	emir
newyorkyankees	yankees
barneygumble	barney
worksprogressadministration	wpa
gainsbourg	sergegainsbourg
jadis	whitewitch
cerebrospinalfluid	csf
muterecords	mute
partisans	yugoslavpartisans
diana	diane
sunmicrosystems	sun
marchairreservebase	marchfield
rascals	therascals
byzantinegreek	medievalgreek
cah	congenitaladrenalhyperplasia
motherroad	us66
chopper	helicopter
canadaday	dominionday
ciclosporin	cyclosporine
francisdrake	sirfrancisdrake
sodiumthiopental	thiopental
traditionalcatholic	traditionalistcatholic
ismband	ism
consistencyproof	consistency
bowls	lawnbowls
kingcole	natkingcole
nfcchampionshipgame	nfcchampionship
veganism	vegan
highnumbers	thewho
montana	mt
presidentreagan	ronaldreagan
burr	bur
athabascan	athabaskanlanguages
lichtenstein	roylichtenstein
amitabhbachchan	amitabh
alfredhitchcock	hitch
jonforeman	jon
environmentalsciences	environmentalscience
entranceexamination	entranceexam
staplesingers	thestaplesingers
countygalway	galway
tcp	transmissioncontrolprotocol
garage	ukgarage
democraticparty	democrats
babyloniancaptivity	babylonianexile
hummel	johannnepomukhummel
icp	insaneclownposse
sevilla	seville
arthureddington	arthurstanleyeddington
overwintering	overwinter
georgewashingtonuniversity	thegeorgewashingtonuniversity
megabits	megabit
bosnianlanguage	bosnian
methodism	methodistchurch
firstfrenchrepublic	frenchfirstrepublic
physicaltherapy	physiotherapy
africanbuffalo	capebuffalo
greeklanguage	greek
newyorkgiants	sanfranciscogiants
poplar	populus
popstandards	traditionalpopmusic
bull	groupebull
asd	autismspectrum
sce	sonycomputerentertainment
organisedcrime	organizedcrime
metricsystem	si
federicofellini	fellini
lexingtonfayette	lexington
nes	nintendoentertainmentsystem
cistercians	cistercian
crosscountryskiing	crosscountryski
sarah	sarai
dielectrics	dielectric
borders	scottishborders
computerdisplay	computermonitor
londonsymphonyorchestra	lso
highrise	towerblock
deepveinthrombosis	dvt
scotslanguage	scots
karolszymanowski	szymanowski
bealeafb	bealeairforcebase
daodejing	taoteching
mannerism	mannerist
sepsis	septicemia
fascism	fascist
scarabbeetles	scarabs
ufw	unitedfarmworkers
ganondorf	ganon
mobileapps	mobileapp
aaroncopland	copland
retailing	retail
privatecompany	privatelyheldcompany
fdic	federaldepositinsurancecorporation
technology	tech
centralintelligenceagency	cia
leapyears	leapyear
blockisland	newshoreham
venetianlanguage	venetian
jedimaster	jedi
freeman	martinfreeman
electropop	synthpop
buzkashi	kokpar
millajovovich	milla
ralphvaughanwilliams	vaughanwilliams
bomberaircraft	bomber
baudelaire	charlesbaudelaire
nantucketisland	nantucket
pixels	pixel
gustavklimt	klimt
paradigms	paradigm
bvitamins	vitaminb
andromedagalaxy	m31
cinematographer	dp
ethics	moralphilosophy
empresswu	wuzetian
grade12	twelfthgrade
gray	grey
wintergames	winterolympicgames
missionsantabarbara	santabarbaramission
royalballet	theroyalballet
odf	opendocument
frisians	frisian
bastet	bast
giovannipierluigidapalestrina	palestrina
georgefriderichandel	handel
cherylcole	cheryl
ira	irishrepublicanarmy
finnishlanguage	finnish
stalingrad	volgograd
americanculture	americanvalues
sinclairresearch	sinclair
anaesthesia	anesthesia
davidlander	squiggy
